uid,guid,content,name,creationTime,isTop,referenceTime,firstCategory,secondCategory,thirdCategory,replyCount,score,nickname,userClient,productColor,productSize,plusAvailable,isMobile,days,afterDays,好评率,差评率,poorCountStr,平均分,generalCountStr,oneYear,showCount,showCountStr,好评数,generalRate,中评数,skuId,goodCountStr,poorRate,afterCount,goodRateStyle,差评数,poorRateStyle,generalRateStyle,commentCountStr,commentCount,商品id,afterCountStr,goodRate,中评率
17239108427,435f8b92a60153fc1d62e3fa7b787cfb,"比官网贵100,比实体手机店贵更多",Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2022-03-11 18:30:21,False,2022-03-09 20:19:12,9987,653,655,1,1,****f,4,星纱,8GB+128GB,0,10.4.0,2,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
17247926009,30145b6ec4446663a8c6df112dbc4f34,指纹解锁在有右边，不方便,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2022-03-13 20:45:27,False,2022-02-14 13:29:48,9987,653,655,1,1,****l,4,星纱,8GB+128GB,0,10.4.3,27,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
15786885517,0f93fa4ede86ef588118a9230d0440f0,您没有填写内容，默认好评,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-06-10 07:55:03,False,2021-06-08 21:29:26,9987,653,655,7,1,u***d,21,星纱,8GB+128GB,0,,2,2,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
15778556510,ac7769acf0bbee3f3af3690421e3db51,***！才买两天便宜了100,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-06-08 12:36:29,False,2021-06-02 12:25:02,9987,653,655,16,1,靳***3,4,星纱,8GB+128GB,0,10.0.2,6,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
16163553060,45f3b98f3227a4ea1f96baa1f2ee1c98,包装上面都有脏污和刮痕,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-08-19 18:44:41,False,2021-08-17 21:52:26,9987,653,655,10,1,*****,4,星纱,8GB+128GB,0,10.1.0,2,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
15811533162,693b6a45b7cc9adf5978a55d68d17569,刷视频闪退建议不要购买,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-06-15 19:53:04,False,2021-06-01 01:21:00,9987,653,655,16,1,****F,4,星纱,8GB+128GB,0,10.0.4,14,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
16617469611,a7667cbbfe68bcf82ec5924e03d9399c,到货就发优惠券，变相降价，良心何在！,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-11-11 10:16:11,False,2021-11-07 11:03:37,9987,653,655,0,1,T***Q,4,星纱,8GB+128GB,201,10.1.4,4,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
15789829869,0247183a579cd787f7f17652892bb525,客服趁早死? 一直转接个不停,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-06-10 19:33:50,False,2021-06-10 00:09:54,9987,653,655,1,1,一***晶,4,星纱,8GB+128GB,201,10.0.2,0,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
16502228463,3f00fc4510533d401640f85c71d17165,无线网怎么会自动关闭的,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-10-22 19:36:40,False,2021-09-11 14:16:20,9987,653,655,2,1,****2,21,星纱,8GB+128GB,0,,41,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
16138515040,ff6d50dcdbfa831e17e8d8f4470f61e9,挺好的，送给婆婆的，他挺喜欢,Redmi Note 10 Pro 5G 天玑1100旗舰芯 67W快充 120Hz旗舰变速金刚屏 星纱 8GB+128GB 智能手机 小米红米,2021-08-15 12:42:51,False,2021-07-21 11:01:28,9987,653,655,11,1,u***v,2,星纱,8GB+128GB,201,10.1.0,25,0,96,2,400+,5,400+,0,0,3500+,0,0.019,0,100011650795,2.2万+,0.021,0,144,0,3,3,10万+,0,100011650795,500+,0.96,2
